Source,idx_0,idx_1,idx_2,idx_3,idx_4,idx_5,idx_6,idx_7,idx_8,idx_9,idx_10,idx_11,idx_12,idx_13,idx_14,idx_15,idx_16,idx_17,idx_18,idx_19,idx_20,idx_21,idx_22,idx_23,idx_24,idx_25,idx_26,idx_27,idx_28,idx_29,idx_30,idx_31,idx_32,idx_33,idx_34,idx_35,idx_36,idx_37,idx_38,idx_39,idx_40,idx_41,idx_42,idx_43,idx_44,idx_45,idx_46,idx_47,idx_48,idx_49,idx_50,idx_51,idx_52,idx_53,idx_54,idx_55,idx_56,idx_57,idx_58,idx_59,idx_60,idx_61,string_raw,string_generic
Cloud,4,I,3,A,l, ,a,K,m,H,l, ,0,*,8,),8,%, ,A,k,M,b,L, ,@,k,^,c,G,8,%, ,E,0,J, ,B,8,^,6,D,k,),3,>, , , , , , , , , , , , , , , , ,4I3Al aKmHl 0*8)8% AkMbL @k^cG8% E0J B8^6Dk)3>,4i3al akmhl 088085 akmbl 2k6cg85 e0j b866dk03.
ABC1,4,I,3,A,l, ,n,*,p,),p,B,l,#, ,E,0,J, ,N,8,O,8,A,g,D,k,),3,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4I3Al n*p)pBl# E0J N8O8AgDk)3>,4i3al n8p0pbl3 e0j n8o8agdk03.
ABC2,4,I,3,A,l, ,d,Q,8,B,l, ,j,K,i,E,d,K,0,#, ,@,0,Q,j,G,h,),8, ,n,*,p,),p,A,l,#, ,E,0,J, ,J,k,I,e,P,k,#,3,>, , , , , , , , , , ,4I3Al dQ8Bl jKiEdK0# @0QjGh)8 n*p)pAl# E0J JkIePk#3>,4i3al dq8bl jkiedk03 20qjgh08 n8p0pal3 e0j jkiepk33.
ABC3,4,I,3,A,l, ,p,),p,B,l, ,n,*,p,),p,F,l,C, ,Q,j,G,d,K,0,#,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4I3Al p)pBl n*p)pFlC QjGdK0#.,4i3al p0pbl n8p0pflc qjgdk03.
ABC4,4,I,3,A,l, ,k,F,i,K,b,L,3, ,2,),q,J,g,D, ,),q,J,g,D,k,),3,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4I3Al kFiKbL3 2)qJgD )qJgDk)3>,4i3al kfikbl3 20qjgd 0qjgdk03.
ABC5,4,I,3,A,l, ,k,F,i,H,l,#, ,K,f,I,k,B,l,#, ,!,g,P,k,#,3,<, ,@,0,Q,j,G,d,K,0,#,., , , , , , , , , , , , , , , , , , , , , , , ,4I3Al kFiHl# KfIkBl# !gPk#3< @0QjGdK0#.,"4i3al kfihl3 kfikbl3 1gpk33, 20qjgdk03."
ABC6,4,I,3,A,l, ,p,),p,B,l, ,n,*,p,),p,F,l,C, ,Q,j,G,d,K,0,#, ,@,0,Q,j,G,h,),8, ,k,F,i,K,j,L,3, ,2,),q,J,g,D,k,),3,>, , , , , , ,4I3Al p)pBl n*p)pFlC QjGdK0# @0QjGh)8 kFiKjL3 2)qJgDk)3>,4i3al p0pbl n8p0pflc qjgdk03 20qjgh08 kfikjl3 20qjgdk03.
ABC7,4,I,3,A,l, ,k,F,i,K,b,L,3, ,q,J,g,D,k,),3, ,2,),q,J,g,H,0,*, ,D,q,*,a,L, ,J,k,I,e,P,k,),3,>, , , , , , , , , , , , , , , , ,4I3Al kFiKbL3 qJgDk)3 2)qJgH0* Dq*aL JkIePk)3>,4i3al kfikbl3 qjgdk03 20qjgh08 dq8al jkiepk03.
ABC8,k,B,i,K,a,L,3, ,4,I,3,B,l, ,n,*,o,*,a,G,d,K,3,#,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,kBiKaL3 4I3Bl n*o*aGdK3#.,kbikal3 4i3bl n8o8agdk33.
ABC9,k,B,i,K,a,L,3, ,d,Q,8,B,l, ,n,*,j,K,i,E,d,K,3,#,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,kBiKaL3 dQ8Bl n*jKiEdK3#.,kbikal3 dq8bl n8jkiedk33.
ABC10,k,B,i,K,a,L,3, ,4,I,3,B,l, ,k,O,0,*,2,D,k,#,3,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,kBiKaL3 4I3Bl kO0*2Dk#3>,kbikal3 4i3bl ko082dk33.
NTN1,4,I,3,A,l, ,k,F,i,B,l,#, ,@,0,E,j,G,d,K,0,#,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4I3Al kFiBl# @0EjGdK0#.,4i3al kfibl3 20ejgdk03.
NTN2,d,Q,8,A,l, ,a,F,8,F,l,C, ,!,8,D,k,#,1,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,dQ8Al aF8FlC !8Dk#1>,dq8al af8flc 18dk31.
NTN3,d,Q,8,A,l, ,n,*,a,F,8,F,l,C, ,!,8,D,k,#,1,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,dQ8Al n*aF8FlC !8Dk#1>,dq8al n8af8flc 18dk31.
NTE1,4,I,3,A,l, ,k,F,i,B,l,#, ,#,m,G,o,O,d,K,1,#, ,@,o,I,j,G,r,I, ,@,0,Q,j,G,h,),8, ,d,Q,8,A,l, ,4,I,3,*,5, ,n,*,a,F,8,P,k,#,1.0,>,4I3Al kFiBl# #mGoOdK1# @oIjGrI @0QjGh)8 dQ8Al 4I3*5 n*aF8Pk#1>,4i3al kfibl3 3mgoodk13 2oijgri 20qjgh08 dq8al 4i385 n8af8pk31.
NTE2,4,I,3,A,l, ,k,F,i,B,l,#, ,#,m,G,o,O,d,K,1,#, ,@,o,I,j,G,r,I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4I3Al kFiBl# #mGoOdK1# @oIjGrI,4i3al kfibl3 3mgoodk13 2oijgri
NTE3,d,Q,8,A,l, ,4,I,3,*,5, ,n,*,a,F,8,D,k,#,1, ,2,),q,J,g,H,0,*, ,$,i,#,a,L, ,N,8,B,8,&,d,K,0,#,., , , , , , , , , , , , , , , ,dQ8Al 4I3*5 n*aF8Dk#1 2)qJgH0* $i#aL N8B8&dK0#.,dq8al 4i385 n8af8dk31 20qjgh08 4i3al n8b87dk03.
NTW1,k,F,i,A,l,#, ,D,q,*,b,L, ,N,8,A,f,*,f,L,c, ,2,),q,J,g,P,k,),3,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,kFiAl# Dq*bL N8Af*fLc 2)qJgPk)3>,kfial3 dq8bl n8af8flc 20qjgpk03.
NTW2,4,I,3,A,l, ,k,F,i,A,l,#, ,@,0,Q,j,G,h,),8, ,d,Q,8,A,l, ,n,*,a,F,8,P,k,#,1,>, , , , , , , , , , , , , , , , , , , , , , , , ,4I3Al kFiAl# @0QjGh)8 dQ8Al n*aF8Pk#1>,4i3al kfial3 20qjgh08 dq8al n8af8pk31.
NTO1,a,L, ,K,f,I,b,L,3, ,n,*,o,*,a,G,d,K,3,!,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,aL KfIbL3 n*o*aGdK3!.,al kfibl3 n8o8agdk31.
NTO2,a,L, ,N,8,B,8,&,b,L, ,N,8,O,8,A,g,D,k,#,1,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,aL N8B8&bL N8O8AgDk#1>,al n8b87bl n8o8agdk31.
CR1,n,*,p,),p,A,l,#, ,E,0,J, ,P,0,P,b,L, ,N,8,P,0,P,f,L, ,N,8,P,0,P,f,L,c, ,o,*,a,G,d,K,3,#,., , , , , , , , , , , , , , , , , ,n*p)pAl# E0J P0PbL N8P0PfL N8P0PfLc o*aGdK3#.,n8p0pal3 e0j p0pbl n8p0pfl n8p0pflc o8agdk33.
CR2,n,*,p,),p,A,l,#, ,E,0,J, ,K,8,),c,B,l, ,e,),j, ,q,J,g,D,k,#,3,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,n*p)pAl# E0J K8)cBl e)j qJgDk#3>,n8p0pal3 e0j k80cbl e0j qjgdk33.
CR3,n,*,p,),p,A,l,#, ,E,0,J, ,K,o,*,b,L, ,K,i,I,b, ,2,I,b, ,2,I,b,#,d,K,3,#,., , , , , , , , , , , , , , , , , , , , , , , , , ,n*p)pAl# E0J Ko*bL KiIb 2Ib 2Ib#dK3#.,n8p0pal3 e0j ko8bl kiib 2ib 2ib3dk33.
CR4,b,G,k,F,o,),b,),a,L,3, ,4,I,3,*,5,<, ,B,0,&,k,F,l,C, ,!,g,D,k,#,3,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,bGkFo)b)aL3 4I3*5< B0&kFlC !gDk#3>,"bgkfo0b0al3 4i385, b07kflc 1gdk33."
CR5,n,*,p,),p,A,l,#, ,E,0,J, ,P,0,P,b,L, ,N,8,P,0,P,f,L,c, ,k,I,i,B, ,@,i,B,3,D,k,#,3,>, , , , , , , , , , , , , , , , , , , , ,n*p)pAl# E0J P0PbL N8P0PfLc kIiB @iB3Dk#3>,n8p0pal3 e0j p0pbl n8p0pflc kiib 2ib3dk33.
CR6,n,*,p,),p,A,l,#, ,$,i,#,b,L, ,N,8,O,8,A,g,D,k,#,3,>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,n*p)pAl# $i#bL N8O8AgDk#3>,n8p0pal3 4i3bl n8o8agdk33.
ICE1,P,S,P,A,L, ,E,S,J,",", ,N,*,P,S,P,F,L,C, ,T,G,D,K,V,T, ,H,S,*,U, ,P,S,P,A,L, ,E,S,J,",", ,P,S,P,F,L,C, ,T,G,D,K,V,T,., , , , , ,"PSPAL ESJ, N*PSPFLC TGDKVT HS*U PSPAL ESJ, PSPFLC TGDKVT.","p0pal e0j, n8p0pflc 1gdk31 h082 p0pal e0j, p0pflc 1gdk31."
ICE2,P,S,P,A,L, ,E,S,J,",", ,P,S,P,F,L,C, ,Q,G,H,Z,R,I, ,T,G,D,K,V,T,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"PSPAL ESJ, PSPFLC QGHZRI TGDKVT.","p0pal e0j, p0pflc qgh7ri 1gdk31."
ICE3,P,S,P,A,L, ,E,S,J,",", ,P,S,P,B,L, ,B,G,K,F,*,X, ,Y,I,I,V,F,L,C, ,J,S,B,G,R,I, ,T,G,D,K,V,T,., , , , , , , , , , , , , , , , ,"PSPAL ESJ, PSPBL BGKF*X YIIVFLC JSBGRI TGDKVT.","p0pal e0j, p0pbl bgkf85 6ii3flc j0bgri 1gdk31."
ICE4,P,B,*,K,O,*,A,L, ,N,*,P,S,P,F,L,C, ,T,G,D,K,V,T,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PB*KO*AL N*PSPFLC TGDKVT.,pb8ko8al n8p0pflc 1gdk31.
ICE5,P,B,*,K,O,*,A,L, ,P,S,P,F,L,C, ,T,G,D,K,V,T,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PB*KO*AL PSPFLC TGDKVT.,pb8ko8al p0pflc 1gdk31.
ICE6,B,G,K,F,O,S,B,S,A,L,V, ,W,I,V,*,X,",", ,S,B,S,F,V,F,L,C, ,T,G,D,K,V,V,., , , , , , , , , , , , , , , , , , , , , , , , , , , ,"BGKFOSBSALV WIV*X, SBSFVFLC TGDKVV.","bgkfo0b0al3 4i385, 0b0f3flc 1gdk33."
ICE7,B,G,K,F,O,S,B,S,A,L,V, ,W,I,V,*,X, ,K,*,S,C,B,L, ,U,S,Q,J,G,D,K,S,V,., , , , , , , , , , , , , , , , , , , , , , , , , , , ,BGKFOSBSALV WIV*X K*SCBL USQJGDKSV.,bgkfo0b0al3 4i385 k80cbl 20qjgdk03.
ICE8,K,*,S,C,A,L, ,E,S,J, ,P,B,*,K,O,*,B,L, ,K,I,I,B, ,R,I,*,C,D,K,V,T,., , , , , , , , , , , , , , , , , , , , , , , , , , , , ,K*SCAL ESJ PB*KO*BL KIIB RI*CDKVT.,k80cal e0j pb8ko8bl kiib ri8cdk31.
ICE9,K,*,S,C,A,L, ,E,S,J, ,K,O,*,H,L, , ,K,I,I,B, ,P,B,*,K,O,*,B, ,K,I,I,B, ,R,I,*,C,D,K,V,T,., , , , , , , , , , , , , , , , , ,K*SCAL ESJ KO*HL  KIIB PB*KO*B KIIB RI*CDKVT.,k80cal e0j ko8hl  kiib pb8ko8b kiib ri8cdk31.
ICE10,W,I,V,A,L, ,K,*,S,C,B,L, ,E,S,J, ,Q,J,*,D,K,S,V,., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,WIVAL K*SCBL ESJ QJ*DKSV.,4i3al k80cbl e0j qj8dk03.
